1658411038000,4327,41324,京I61919,3.2,56,37
1658409346000,5038,78027,京I61919,85.3,34,88
1658411264000,9656,15637,京I61919,21.6,87,82
1658409438000,6762,77027,京I61919,69.4,34,91
1658411394000,1503,52446,京I61919,57.7,15,48
1658409467000,0991,09502,京I61919,30.6,86,26
1658409436000,2379,06682,京I61919,58.5,61,53
1658409908000,8247,04438,京I61919,32.3,58,46
1658410096000,3462,28436,京I61919,39.1,70,04
1658410774000,4602,18552,京I61919,29.5,79,15
1658408866000,2651,29417,京I61919,92.2,60,29
1658409528000,3947,77984,京I61919,13.2,18,64
1658410440000,6765,90475,京I61919,20.4,55,38
1658408526000,7738,04852,京I61919,35.3,92,05
1658411726000,5738,62901,京I61919,29.9,74,76
1658408850000,7484,09991,京I61919,7.0,25,50
1658411607000,3686,42392,京I61919,100.5,44,32
1658411898000,7293,54516,京I61919,9.9,63,02
1658409890000,8988,32521,京I61919,73.6,90,32
1658411066000,2254,93020,京I61919,61.3,79,33
1658409249000,6854,91341,京I61919,62.8,68,21
1658409194000,5986,88837,京I61919,88.3,92,19
1658410725000,4006,08170,京I61919,39.5,61,31
1658410631000,5162,45911,京I61919,37.1,04,64
1658411855000,2325,31251,京I61919,26.5,63,36
1658411219000,4281,17917,京I61919,68.4,76,94
1658409825000,9056,80184,京I61919,8.6,95,64
1658410175000,0298,57086,京I61919,35.6,34,87
1658408937000,3418,38896,京I61919,110.2,49,06
1658409785000,8534,24991,京I61919,45.6,38,25
1658415543000,2595,70892,京I61919,29.8,60,72
1658412311000,6731,30494,京I61919,9.3,38,11
1658414179000,9632,01345,京I61919,3.6,58,48
1658412092000,0511,02484,京I61919,22.4,75,04
1658413826000,7084,77209,京I61919,123.1,64,15
1658412678000,1882,27631,京I61919,118.7,02,16
1658414930000,2644,75711,京I61919,18.5,61,35
1658413632000,0122,47122,京I61919,26.6,96,84
1658412834000,4936,33486,京I61919,45.3,97,92
1658413278000,5208,94675,京I61919,28.9,39,80
1658414086000,8629,67901,京I61919,53.1,88,37
1658412227000,5696,53304,京I61919,23.5,54,19
1658413793000,2775,03025,京I61919,64.9,13,21
1658413216000,4887,06710,京I61919,38.2,99,13
1658413704000,4147,39335,京I61919,40.9,46,37
1658413783000,9438,65646,京I61919,87.3,59,81
1658412007000,8346,07300,京I61919,38.7,82,21
1658412814000,4827,46157,京I61919,50.1,35,07
1658413364000,9089,73411,京I61919,9.0,14,31
1658414146000,6031,79944,京I61919,69.2,83,75
1658415492000,2853,04610,京I61919,9.6,75,17
1658412003000,5562,83193,京I61919,50.8,32,32
1658415319000,8788,70705,京I61919,46.6,85,75
1658412735000,7060,96738,京I61919,46.6,47,87
1658414563000,5182,27265,京I61919,78.4,18,92
1658412596000,6253,73540,京I61919,39.1,76,12
1658414377000,4130,32525,京I61919,46.5,70,85
1658384323000,6931,90308,京B24621,43.4,20,33
1658385356000,7270,61617,京B24621,47.0,39,34
1658386278000,4036,67466,京B24621,34.0,75,08
1658384171000,8128,47825,京B24621,21.0,86,77
1658384553000,5380,10374,京B24621,141.9,21,62
1658385829000,6556,19435,京B24621,58.1,54,49
1658384788000,0625,71477,京B24621,162.1,20,53
1658384001000,0545,14301,京B24621,37.6,61,74
1658385671000,7986,15256,京B24621,76.1,04,39
1658409809000,3638,43598,鄂M84226,96.4,54,14
1658411353000,3295,11190,鄂M84226,14.1,67,19
1658411979000,3581,66853,鄂M84226,11.8,32,41
1658411788000,5843,05445,鄂M84226,21.5,51,72
1658411215000,3140,28756,鄂M84226,77.3,47,40
1658409869000,5566,81865,鄂M84226,12.7,92,50
1658409257000,4947,20487,鄂M84226,38.8,09,11
1658409703000,9524,99548,鄂M84226,0.2,33,58
1658408672000,8264,87433,鄂M84226,6.8,55,46
1658411858000,4610,27199,鄂M84226,1.5,05,51
1658410099000,7309,79059,鄂M84226,38.4,77,01
1658408405000,2042,11760,鄂M84226,24.3,19,52
1658408431000,8539,98394,鄂M84226,68.9,74,06
1658409870000,1028,80781,鄂M84226,66.7,27,66
1658409366000,2884,36061,鄂M84226,79.3,77,57
1658409700000,3368,82737,鄂M84226,72.0,35,69
1658409156000,7318,45810,鄂M84226,14.1,94,18
1658409472000,9857,86545,鄂M84226,18.5,96,09
1658409446000,2819,93524,鄂M84226,80.7,25,43
1658352054000,6350,04153,沪H26805,13.3,83,17
1658353696000,7747,92594,沪H26805,72.8,40,44
1658392923000,2276,88970,鄂G04115,84.3,97,32
1658392256000,8662,44959,鄂G04115,28.9,49,55
1658393601000,4975,94821,鄂G04115,97.3,81,15
1658390604000,9591,97238,鄂G04115,66.8,70,03
1658392354000,1923,97331,鄂G04115,32.8,14,87
1658390746000,6223,60643,鄂G04115,3.4,19,36
1658393485000,7980,15850,鄂G04115,147.3,06,70
